upc,name,price,size,brand,description,category_name,category_id,scraped_timestamp
85854500121,Giant Rainbow Bell Peppers,5.99,6 CT BAG,Our Brand,,Produce,2098,2025-06-10T11:09:59.965440
68826759235,Giant Trimmed Sweet Corn,4.99,5 CT PKG,Our Brand,,Produce,2098,2025-06-10T11:09:59.966333
81884902001,Zespri Sungold Golden Kiwi,3.33,16 OZ PKG,Zespri,,Produce,2098,2025-06-10T11:09:59.967223
68826712403,Lemons,4.49,2 LB BAG,USDA Produce,,Produce,2098,2025-06-10T11:09:59.968116
62930712334,The Little Potato Co. Little Yellows Fresh Potatoes,3.99,1.5 LB BAG,The Little Potato Co.,,Produce,2098,2025-06-10T11:09:59.969100
7143000034,Dole Chopped Sunflower Crunch Salad Kit,3.49,12.2 OZ BAG,Dole,,Produce,2098,2025-06-10T11:09:59.970085
68826704350,Giant Celery Hearts,2.79,16 OZ PKG,Our Brand,,Produce,2098,2025-06-10T11:09:59.971012
82608858615,Giant Mini Yellow Potatoes,3.99,1.5 LB BAG,Our Brand,,Produce,2098,2025-06-10T11:09:59.971933
20441300000,Bosc Pears,0.95,1 EA,USDA Produce,,Produce,2098,2025-06-10T11:09:59.972859
4073,Red Potatoes,0.57,1 EA,USDA Produce,,Produce,2098,2025-06-10T11:09:59.973784
85955500141,RealSweet Sweet Onions,4.49,3 LB BAG,RealSweet,,Produce,2098,2025-06-10T11:10:03.605385
85706200460,BrightFarms Sunny Crunch Lettuce,3.79,4 OZ PKG,BrightFarms,,Produce,2098,2025-06-10T11:10:03.606435
85739400610,Little Leaf Farms Baby Crispy Green Leaf Lettuce,3,4 OZ PKG,Little Leaf Farms,,Produce,2098,2025-06-10T11:10:03.607223
93283,Organic Honeycrisp Apples,3.05,1 EA,USDA Produce,,Produce,2098,2025-06-10T11:10:03.608079
68826704936,Nature's Promise Organic Extra Firm Tofu,2.29,14 OZ PKG,Nature's Promise,,Produce,2098,2025-06-10T11:10:03.608869
68826715447,Nature's Promise Organic Baby Arugula,3,5 OZ PKG,Nature's Promise,,Produce,2098,2025-06-10T11:10:03.609641
7143000956,Dole Hearts of Romaine Salad,3.49,9 OZ BAG,Dole,,Produce,2098,2025-06-10T11:10:03.610400
68826705452,Nature's Promise Organic Green Beans,3.99,10 OZ BAG,Nature's Promise,,Produce,2098,2025-06-10T11:10:03.611171
852761000850,Mini Avocados,5.99,6 CT BAG,USDA Produce,,Produce,2098,2025-06-10T11:10:03.611941
68826705309,Giant Pre-Washed Kale Greens,2.79,16 OZ BAG,Our Brand,,Produce,2098,2025-06-10T11:10:03.612712
4440,Plums,1.19,1 EA,USDA Produce,,Produce,2098,2025-06-10T11:10:03.613486
3616,Envy Apples,1.82,1 EA,USDA Produce,,Produce,2098,2025-06-10T11:10:03.614253
2400050793,Del Monte No Sugar Added Red Grapefruit in Sweetened Water Fruit Cup,1.67,6.5 OZ CUP,Del Monte,,Produce,2098,2025-06-10T11:10:03.615023
68826715457,Nature's Promise Organic Baby Spinach,6.99,16 OZ PKG,Nature's Promise,,Produce,2098,2025-06-10T11:10:03.615856
68826719910,Nature's Promise Organic Basil Leaves,2.29,0.50 OZ PKG,Nature's Promise,,Produce,2098,2025-06-10T11:10:03.616627
71575610004,Organic Raspberries,5.99,6 OZ PKG,USDA Produce,,Produce,2098,2025-06-10T11:10:03.617480
7774529186,Giant Chicken Caesar Salad Bowl with Caesar Dressing,4.49,6.25 OZ BWL,Our Brand,,Produce,2098,2025-06-10T11:10:03.618287
4043710156,Cotton Candy Grapes,5.99,1 LB PKG,USDA Produce,,Produce,2098,2025-06-10T11:10:03.619100
68826700271,Giant Red Potatoes,3.99,3 LB BAG,Our Brand,,Produce,2098,2025-06-10T11:10:03.619899
68826701143,Giant Salad Blends Butter Lettuce,2.99,7 OZ BAG,Our Brand,,Produce,2098,2025-06-10T11:10:03.620722
7143000933,Dole American Salad Blend,3.49,12 OZ BAG,Dole,,Produce,2098,2025-06-10T11:10:03.621514
4627,Curly Kale,1.53,1 BUNCH,USDA Produce,,Produce,2098,2025-06-10T11:10:03.622284
68925900492,Nature Fresh Farms Ombre Cherry Tomatoes On The Vine,5.99,12 OZ PKG,Nature Fresh Farms,,Produce,2098,2025-06-10T11:10:03.623054
85706200441,BrightFarms Spring Mix Lettuce Blend,3.79,4 OZ BAG,BrightFarms,,Produce,2098,2025-06-10T11:10:03.623870
4727,Yellow Potatoes,0.82,1 EA,USDA Produce,,Produce,2098,2025-06-10T11:10:03.624677
68826701108,Giant Salad Basics Chopped Romaine,2.99,10 OZ BAG,Our Brand,,Produce,2098,2025-06-10T11:10:03.625450
4891,Dill Fresh,1.99,1 BUNCH,USDA Produce,,Produce,2098,2025-06-10T11:10:03.626222
7143000091,Dole Chopped Avocado Ranch Salad Kit,3.49,11.3 OZ BAG,Dole,,Produce,2098,2025-06-10T11:10:03.626983
81004159059,Giant Medium Chunky Guacamole,5,14 OZ TUB,Fresh Innovations,,Produce,2098,2025-06-10T11:10:03.627723
68826754974,Giant Shredded Red Cabbage,1.79,8 OZ BAG,Our Brand,,Produce,2098,2025-06-10T11:10:03.628432
3294,Jazz Apples,1.39,1 EA,USDA Produce,,Produce,2098,2025-06-10T11:10:03.629202
74183900676,Cosmic Crisp Apples,8.99,4 LB BAG,USDA Produce,,Produce,2098,2025-06-10T11:10:03.629920
4235,Ripe Plantains,0.5,1 EA,USDA Produce,,Produce,2098,2025-06-10T11:10:03.630636
74183900683,Stemilt Artisan Organics Gala Apples,8.99,5 LB BAG,Stemilt,,Produce,2098,2025-06-10T11:10:03.631377
68826718443,Giant Classics Garden Salad Mix,1.69,12 OZ BAG,Our Brand,,Produce,2098,2025-06-10T11:10:03.632127
68826701155,Giant Salad Basics Baby Arugula,2.99,5 OZ BAG,Our Brand,,Produce,2098,2025-06-10T11:10:03.632886
85739400617,Little Leaf Farms Sweet Baby Butter Leaf,3,4 OZ PKG,Little Leaf Farms,,Produce,2098,2025-06-10T11:10:03.633651
7143000925,Dole Classic Light Caesar Salad Kit,3.49,10 OZ BAG,Dole,,Produce,2098,2025-06-10T11:10:06.098732
85000000240,Red Radishes,1.99,16 OZ BAG,USDA Produce,,Produce,2098,2025-06-10T11:10:06.099842
68826753400,Nature's Promise Minced Garlic,2.99,8 OZ JAR,Nature's Promise,,Produce,2098,2025-06-10T11:10:06.100646
68826754782,Nature's Promise Organic Romaine Hearts Lettuce - 3 ct,4.49,12 OZ BAG,Nature's Promise,,Produce,2098,2025-06-10T11:10:06.101425
68826756286,Giant Steam Easy Petite Sweet Potatoes Microwavable Bag,2.99,1.5 LB BAG,Our Brand,,Produce,2098,2025-06-10T11:10:06.102211
68826709813,Giant Triple Washed Curly Leaf Spinach,1.99,8 OZ BAG,Our Brand,,Produce,2098,2025-06-10T11:10:06.102970
20478630000,Giant Small Pineapple Chunks,3.5,APX 1/2 LB,Our Brand,,Produce,2098,2025-06-10T11:10:06.103806
71651909001,Broccolini (Baby Broccoli),2.99,1 HEAD,USDA Produce,,Produce,2098,2025-06-10T11:10:06.104591
20501680000,Giant Cantaloupe Chunks,4.19,APX 9.6 OZ,Our Brand,,Produce,2098,2025-06-10T11:10:06.105362
7774529185,Giant Chef Salad Bowl with Turkey & Ham,4.49,7.75 OZ BWL,Our Brand,,Produce,2098,2025-06-10T11:10:06.106125
68826753534,Nature's Promise Organic Whole Carrots,2.99,2 LB BAG,Nature's Promise,,Produce,2098,2025-06-10T11:10:06.106886
503018074221,Raspberries,7.99,12 OZ PKG,USDA Produce,,Produce,2098,2025-06-10T11:10:06.107646
4705,Poblano Peppers,0.87,1 EA,USDA Produce,,Produce,2098,2025-06-10T11:10:06.108408
68826713495,Giant Sliced White Mushrooms,3.99,16 OZ PKG,Our Brand,,Produce,2098,2025-06-10T11:10:06.109183
68826759337,Giant Pink Lady Apples,7.99,5 LB BAG,Our Brand,,Produce,2098,2025-06-10T11:10:06.110101
85706200415,BrightFarms Chickpea Caesar Salad Crunch Kit,5.99,6.5 OZ PKG,BrightFarms,,Produce,2098,2025-06-10T11:10:06.111275
4329,Honeydew Melon,4.99,1 EA,USDA Produce,,Produce,2098,2025-06-10T11:10:06.112323
7146401729,Bolthouse Farms Premium Carrot Sticks,2.99,12 OZ BAG,Bolthouse Farms,,Produce,2098,2025-06-10T11:10:06.113191
68826759340,Giant Gala Apples,7.99,5 LB BAG,Our Brand,,Produce,2098,2025-06-10T11:10:06.113998
62930712204,The Little Potato Co. Little Trios Variety Fresh Potatoes,3.99,1.5 LB BAG,The Little Potato Co.,,Produce,2098,2025-06-10T11:10:06.114776
68826717001,Giant Red Onions,4.49,2 LB BAG,Our Brand,,Produce,2098,2025-06-10T11:10:06.115556
4801,Tomatillos,0.25,1 EA,USDA Produce,,Produce,2098,2025-06-10T11:10:06.116337
4076,Green Leaf Lettuce,2.49,1 HEAD,USDA Produce,,Produce,2098,2025-06-10T11:10:06.117125
7143000013,Dole Spring Mix Salad Blend,5.49,10 OZ PKG,Dole,,Produce,2098,2025-06-10T11:10:06.117906
72543981089,Taste of Inspirations Chopped Sweet Kale Salad Kit,4.29,12 OZ BAG,Taste of Inspirations,,Produce,2098,2025-06-10T11:10:06.118683
7143001073,Dole Premium Endless Summer Salad Kit,3.49,13 OZ BAG,Dole,,Produce,2098,2025-06-10T11:10:06.119613
5783693000,Giant Organic Mini Cucumbers,4.49,12 OZ PKG,Our Brand,,Produce,2098,2025-06-10T11:10:06.120562
7523400422,Giant Ready to Microwave Spinach,2.99,9 OZ BAG,Our Brand,,Produce,2098,2025-06-10T11:10:06.121379
81829002065,Diced Yellow Onion,2.49,8 OZ TUB,USDA Produce,,Produce,2098,2025-06-10T11:10:06.122195
68826719410,Giant Broccoli Slaw,1.99,12 OZ BAG,Our Brand,,Produce,2098,2025-06-10T11:10:06.122930
76919710102,Sun Belle Fresh Blackberries,6.99,12 OZ PKG,Sun Belle,,Produce,2098,2025-06-10T11:10:06.123738
5783692091,Nature's Promise Organic Grape Tomatoes,3.99,10 OZ PKG,Nature's Promise,,Produce,2098,2025-06-10T11:10:06.124439
6602200328,Envy Apples,4.89,2 LB PKG,USDA Produce,,Produce,2098,2025-06-10T11:10:06.125128
68826758735,Giant Red Apple Slices - 6 ct,3.29,12 OZ PKG,Our Brand,,Produce,2098,2025-06-10T11:10:06.125813
68826756287,Giant Steam Easy Yellow Potatoes Microwavable Bag,2.99,1.5 LB BAG,Our Brand,,Produce,2098,2025-06-10T11:10:06.126536
68826757381,Giant Petite Romaine Lettuce,3.49,2 CT PKG,Our Brand,,Produce,2098,2025-06-10T11:10:06.127238
69905807309,Mucci Farms CuteCumber Poppers Snack-Sized Cucumbers,2.99,9 OZ PKG,Mucci Farms,,Produce,2098,2025-06-10T11:10:06.127920
